Date,OCAvg,MA,Returns
2010-02-23,7.09,7.088214285714287,0.0009073495934533169
2010-02-24,7.125,7.093928571428572,0.0008058424006970286
2010-02-25,7.13,7.107142857142857,0.0018610271196278852
2010-02-26,7.27,7.131428571428572,0.003411260456570583
2010-03-01,7.404999999999999,7.163214285714287,0.004447227816892797
2010-03-02,7.48,7.196785714285715,0.004675694948927386
2010-03-03,7.470000000000001,7.231428571428572,0.004802108289985731
2010-03-04,7.5,7.265000000000001,0.004631690960581404
2010-03-05,7.75,7.3100000000000005,0.006174976739440978
2010-03-08,7.84,7.353214285714286,0.005894261651762019
2010-03-09,7.88,7.3975,0.0060045698787784115
2010-03-10,8.01,7.453571428571429,0.007551198615723615
2010-03-11,8.025,7.512142857142858,0.00782745500872743
2010-03-12,8.105,7.577142857142858,0.008615437905615433
2010-03-15,8.02,7.643571428571429,0.008728761601357438
2010-03-16,8.015,7.707142857142857,0.008282584225179232
2010-03-17,8.015,7.770357142857144,0.008168585006076966
2010-03-18,8.01,7.823214285714287,0.006779376429796528
2010-03-19,7.984999999999999,7.864642857142859,0.005281622258193441
2010-03-22,7.949999999999999,7.898214285714287,0.004259567796234837
2010-03-23,8.11,7.943928571428573,0.005771241051303118
2010-03-24,8.16,7.99107142857143,0.005916911789325934
2010-03-25,8.17,8.02107142857143,0.003747160560666521
2010-03-26,8.215,8.047857142857143,0.0033338550203885005
2010-03-29,8.31,8.078571428571431,0.003809190946000462
2010-03-30,8.434999999999999,8.108928571428573,0.0037506938619398726
2010-03-31,8.4,8.135714285714288,0.0032977934691217365
2010-04-01,8.455,8.160714285714286,0.0030681593211774054
2010-04-05,8.455,8.191785714285716,0.0038002098718650716
2010-04-06,8.530000000000001,8.22857142857143,0.0044805086156118135
2010-04-07,8.575,8.26857142857143,0.00484933406143765
2010-04-08,8.58,8.309285714285716,0.004911897505446668
2010-04-09,8.629999999999999,8.355357142857143,0.00552925692360468
2010-04-12,8.65,8.405357142857143,0.00596635053492618
2010-04-13,8.65,8.443928571428573,0.004578413186516815
2010-04-14,8.765,8.487142857142858,0.005104742453872658
2010-04-15,8.835,8.53464285714286,0.005581097552745167
2010-04-16,8.86,8.580714285714288,0.005383649252943273
2010-04-19,8.82,8.617142857142857,0.0042364145263619184
2010-04-20,8.81,8.643928571428573,0.003103600595977548
2010-04-21,9.25,8.704642857142858,0.006999369813945873
2010-04-22,9.370000000000001,8.770000000000001,0.007480261329781086
2010-04-23,9.620000000000001,8.853214285714285,0.009443782821906888
2010-04-26,9.665,8.934285714285716,0.009115613768383367
2010-04-27,9.455,8.997142857142858,0.007010863643183364
2010-04-28,9.370000000000001,9.053571428571429,0.0062522462384686645
2010-04-29,9.49,9.115,0.0067620952745923585
2010-04-30,9.469999999999999,9.17357142857143,0.0064052710790794935
2010-05-03,9.465,9.231785714285715,0.006325819095765226
2010-05-04,9.315000000000001,9.27107142857143,0.004246454806082208
2010-05-05,9.09,9.289285714285715,0.001962709167848689
2010-05-06,8.93,9.294285714285715,0.0005381097104903374
2010-05-07,8.559999999999999,9.275714285714287,-0.002000154524810048
2010-05-10,9.004999999999999,9.289642857142857,0.0015004908265118628
2010-05-11,9.075,9.277142857142858,-0.0013464906722074205
2010-05-12,9.309999999999999,9.272857142857143,-0.00046207162932267637
2010-05-13,9.315000000000001,9.251071428571427,-0.002352171057690081
2010-05-14,9.085,9.209642857142857,-0.00448830314310804
2010-05-17,9.09,9.183571428571428,-0.0028348983083670053
2010-05-18,9.094999999999999,9.16392857142857,-0.0021412033953028347
2010-05-19,8.89,9.12107142857143,-0.004687691696724429
2010-05-20,8.565000000000001,9.056428571428572,-0.00711243346427343
2010-05-21,8.48,8.98607142857143,-0.007799085435372009
2010-05-24,8.82,8.950714285714286,-0.003942421927290983
2010-05-25,8.655000000000001,8.919642857142858,-0.0034774302084759653
2010-05-26,8.825,8.912142857142856,-0.0008411945457877729
2010-05-27,9.0,8.943571428571428,0.0035202852579263393
2010-05-28,9.215,8.958571428571428,0.0016757774340184545
2010-06-01,9.295,8.974285714285712,0.0017525695555708294
2010-06-02,9.44,8.983571428571427,0.001034167388618409
2010-06-03,9.435,8.992142857142856,0.0009536677191037011
2010-06-04,9.18,8.99892857142857,0.0007543424675322163
2010-06-07,9.09,8.99892857142857,0.0
2010-06-08,8.969999999999999,8.989999999999998,-0.0009926741469125885
2010-06-09,8.835,8.986071428571428,-0.0004370889943028713
2010-06-10,8.844999999999999,9.006071428571428,0.0022231935791581824
2010-06-11,8.96,9.040357142857141,0.003799727508545549
2010-06-14,9.11,9.061071428571427,0.00228869171010692
2010-06-15,9.2,9.099999999999998,0.004287041235767677
2010-06-16,9.43,9.143214285714285,0.004737582518634687
2010-06-17,9.685,9.192142857142857,0.005337085848875939
2010-06-18,9.754999999999999,9.230714285714285,0.004187351031526386
2010-06-21,9.785,9.265714285714285,0.003784518902017274
2010-06-22,9.75,9.287857142857144,0.002386911624111345
2010-06-23,9.745000000000001,9.31,0.002381227841005798
2010-06-24,9.645,9.343214285714286,0.0035612436879518625
2010-06-25,9.585,9.37857142857143,0.0037771167165644936
2010-06-28,9.555,9.420357142857144,0.004445549430564302
2010-06-29,9.29,9.452857142857143,0.003444037844598467
2010-06-30,9.075,9.469285714285714,0.0017364392268449543
2010-07-01,8.975,9.470357142857141,0.00011314137026258264
2010-07-02,8.885,9.454285714285712,-0.0016984661276095922
2010-07-06,8.920000000000002,9.434285714285712,-0.002117683441538854
2010-07-07,9.094999999999999,9.41035714285714,-0.0025395635746821967
