Date,Open,Close
2017-01-03,28.95,29.04
2017-01-04,28.96,29.00
2017-01-05,28.98,29.15
2017-01-06,29.20,29.48
2017-01-09,29.49,29.75
2017-01-10,29.69,29.78
2017-01-11,29.68,29.94
2017-01-12,29.73,29.81
2017-01-13,29.78,29.76
2017-01-17,29.58,30.00
2017-01-18,30.00,30.00
2017-01-19,29.85,29.95
2017-01-20,30.11,30.00
2017-01-23,30.00,30.02
2017-01-24,29.89,29.99
2017-01-25,30.11,30.47
2017-01-26,30.42,30.49
2017-01-27,30.54,30.49
2017-01-30,30.23,30.41
2017-01-31,30.29,30.34
2017-02-01,31.76,32.19
2017-02-02,32.00,32.13
2017-02-03,32.08,32.27
2017-02-06,32.28,32.57
2017-02-07,32.63,32.88
2017-02-08,32.84,33.01
2017-02-09,32.91,33.10
2017-02-10,33.12,33.03
2017-02-13,33.27,33.32
2017-02-14,33.37,33.76
2017-02-15,33.88,33.88
2017-02-16,33.92,33.84
2017-02-17,33.78,33.93
2017-02-21,34.06,34.17
2017-02-22,34.11,34.28
2017-02-23,34.35,34.13
2017-02-24,33.98,34.17
2017-02-27,34.28,34.23
2017-02-28,34.27,34.25
2017-03-01,34.47,34.95
2017-03-02,35.00,34.74
2017-03-03,34.70,34.95
2017-03-06,34.84,34.83
2017-03-07,34.76,34.88
2017-03-08,34.74,34.75
2017-03-09,34.69,34.67
2017-03-10,34.81,34.78
2017-03-13,34.71,34.80
2017-03-14,34.83,34.75
2017-03-15,34.85,35.12
2017-03-16,35.18,35.17
2017-03-17,35.25,35.00
2017-03-20,35.10,35.37
2017-03-21,35.53,34.96
2017-03-22,34.96,35.35
2017-03-23,35.31,35.23
2017-03-24,35.38,35.16
2017-03-27,34.85,35.22
2017-03-28,35.23,35.95
2017-03-29,35.92,36.03
2017-03-30,36.05,35.98
2017-03-31,35.93,35.92
2017-04-03,35.93,35.92
2017-04-04,35.81,36.19
2017-04-05,36.05,36.01
2017-04-06,36.07,35.92
2017-04-07,35.93,35.83
2017-04-10,35.90,35.79
2017-04-11,35.74,35.41
2017-04-12,35.40,35.45
2017-04-13,35.48,35.26
2017-04-17,35.37,35.46
2017-04-18,35.35,35.30
2017-04-19,35.47,35.17
2017-04-20,35.30,35.61
2017-04-21,35.61,35.57
2017-04-24,35.88,35.91
2017-04-25,35.98,36.13
2017-04-26,36.12,35.92
2017-04-27,35.98,35.95
2017-04-28,36.02,35.91
2017-05-01,36.28,36.65
2017-05-02,36.88,36.88
2017-05-03,36.40,36.76
2017-05-04,36.63,36.63
2017-05-05,36.69,37.24
2017-05-08,37.26,38.25
2017-05-09,38.47,38.50
2017-05-10,38.41,38.31
2017-05-11,38.11,38.49
2017-05-12,38.67,39.03
2017-05-15,39.00,38.92
2017-05-16,38.99,38.87
2017-05-17,38.40,37.56
2017-05-18,37.82,38.13
2017-05-19,38.35,38.26
2017-05-22,38.50,38.50
2017-05-23,38.72,38.45
2017-05-24,38.46,38.33
2017-05-25,38.43,38.47
2017-05-26,38.50,38.40
2017-05-30,38.35,38.42
2017-05-31,38.49,38.19
2017-06-01,38.29,38.29
2017-06-02,38.40,38.86
2017-06-05,38.58,38.48
2017-06-06,38.47,38.61
2017-06-07,38.76,38.84
2017-06-08,38.81,38.75
2017-06-09,38.80,37.24
2017-06-12,36.44,36.35
2017-06-13,36.79,36.65
2017-06-14,36.88,36.29
2017-06-15,35.83,36.07
2017-06-16,35.95,35.57
2017-06-19,35.92,36.58
2017-06-20,36.72,36.25
2017-06-21,36.38,36.47
2017-06-22,36.44,36.41
2017-06-23,36.28,36.57
2017-06-26,36.79,36.46
2017-06-27,36.25,35.93
2017-06-28,36.12,36.46
2017-06-29,36.18,35.92
2017-06-30,36.11,36.01
2017-07-03,36.22,35.88
2017-07-05,35.92,36.02
2017-07-06,35.76,35.68
2017-07-07,35.72,36.04
2017-07-10,36.03,36.26
2017-07-11,36.18,36.38
2017-07-12,36.47,36.44
2017-07-13,36.38,36.94
2017-07-14,36.99,37.26
2017-07-17,37.21,37.39
2017-07-18,37.30,37.52
2017-07-19,37.62,37.76
2017-07-20,37.88,37.58
2017-07-21,37.50,37.57
2017-07-24,37.65,38.02
2017-07-25,37.95,38.19
2017-07-26,38.34,38.37
2017-07-27,38.44,37.64
2017-07-28,37.47,37.38
2017-07-31,37.47,37.18
2017-08-01,37.28,37.51
2017-08-02,39.82,39.28
2017-08-03,39.26,38.89
2017-08-04,39.02,39.10
2017-08-07,39.26,39.70
2017-08-08,39.65,40.02
2017-08-09,39.81,40.26
2017-08-10,39.97,38.83
2017-08-11,39.15,39.37
2017-08-14,39.83,39.96
2017-08-15,40.17,40.40
2017-08-16,40.49,40.24
2017-08-17,40.13,39.47
2017-08-18,39.47,39.38
2017-08-21,39.38,39.30
2017-08-22,39.56,39.95
2017-08-23,39.77,39.99
2017-08-24,40.11,39.82
2017-08-25,39.91,39.97
2017-08-28,40.03,40.37
2017-08-29,40.03,40.73
2017-08-30,40.95,40.84
2017-08-31,40.91,41.00
2017-09-01,41.20,41.01
2017-09-05,40.94,40.52
2017-09-06,40.68,40.48
2017-09-07,40.52,40.31
2017-09-08,40.22,39.66
2017-09-11,40.12,40.38
2017-09-12,40.65,40.22
2017-09-13,39.97,39.91
2017-09-14,39.75,39.57
2017-09-15,39.62,39.97
2017-09-18,40.03,39.67
2017-09-19,39.88,39.68
2017-09-20,39.47,39.02
2017-09-21,38.95,38.35
2017-09-22,37.88,37.97
2017-09-25,37.50,37.64
2017-09-26,37.95,38.28
2017-09-27,38.45,38.56
2017-09-28,38.47,38.32
2017-09-29,38.30,38.53
2017-10-02,38.56,38.45
2017-10-03,38.50,38.62
2017-10-04,38.41,38.37
2017-10-05,38.54,38.85
2017-10-06,38.74,38.83
2017-10-09,38.95,38.96
2017-10-10,39.01,38.97
2017-10-11,38.99,39.14
2017-10-12,39.09,39.00
2017-10-13,39.18,39.25
2017-10-16,39.47,39.97
2017-10-17,39.95,40.12
2017-10-18,40.10,39.94
2017-10-19,39.19,38.99
2017-10-20,39.15,39.06
2017-10-23,39.22,39.04
2017-10-24,39.07,39.28
2017-10-25,39.23,39.10
2017-10-26,39.31,39.35
2017-10-27,39.82,40.76
2017-10-30,40.97,41.68
2017-10-31,41.97,42.26
2017-11-01,42.47,41.72
2017-11-02,41.65,42.03
2017-11-03,43.50,43.12
2017-11-06,43.09,43.56
2017-11-07,43.48,43.70
2017-11-08,43.67,44.06
2017-11-09,43.78,43.97
2017-11-10,43.78,43.67
2017-11-13,43.38,43.49
2017-11-14,43.26,42.83
2017-11-15,42.49,42.27
2017-11-16,42.79,42.78
2017-11-17,42.76,42.54
2017-11-20,42.57,42.49
2017-11-21,42.70,43.28
2017-11-22,43.34,43.74
2017-11-24,43.78,43.74
2017-11-27,43.76,43.52
2017-11-28,43.58,43.27
2017-11-29,43.16,42.37
